Year,Tic,EPS,Dividends,Net_Income,Price
2014,ABT,1.49,1363,2284,45.02
2015,ABT,2.92,1464,4423,44.91
2016,ABT,0.94,1547,1400,38.41
2017,ABT,0.27,1947,477,57.07
2018,ABT,1.33,2047,2368,72.33
2019,ABT,2.06,2343,3687,86.86
2020,ABT,2.5,2722,4495,109.49
2021,ABT,3.94,3235,7071,140.74
2022,ABT,3.91,3365,6933,109.79
2023,ABT,3.26,3625,5723,110.07
2014,AMD,-0.53,0,-403,2.67
2015,AMD,-0.84,0,-660,2.87
2016,AMD,-0.6,0,-497,11.34
2017,AMD,0.04,0,43,10.28
2018,AMD,0.32,0,337,18.46
2019,AMD,0.3,0,341,45.86
2020,AMD,2.06,0,2490,91.71
2021,AMD,2.57,0,3162,143.9
2022,AMD,0.84,0,1320,64.77
2023,AMD,0.53,0,854,147.41
2014,AXP,5.56,1055,5885,93.04
2015,AXP,5.05,1128,5163,69.55
2016,AXP,5.65,1137,5408,74.08
2017,AXP,2.97,1183,2736,99.31
2018,AXP,7.91,1273,6921,95.32
2019,AXP,7.99,1358,6759,124.49
2020,AXP,3.77,1392,3135,120.91
2021,AXP,10.02,1359,8060,163.6
2022,AXP,9.85,1568,7514,147.75
2023,AXP,11.21,1770,8374,187.34
2014,AAPL,6.45,11215,39510,100.75
2015,AAPL,9.22,11627,53394,110.3
2016,AAPL,8.31,12188,45687,113.05
2017,AAPL,9.21,12803,48351,154.12
2018,AAPL,11.91,13735,59531,225.74
2019,AAPL,11.89,14129,55256,223.97
2020,AAPL,3.28,14087,57411,115.81
2021,AAPL,5.61,14431,94680,141.5
2022,AAPL,6.11,14793,99803,138.2
2023,AAPL,6.13,14996,96995,171.21
2014,AMAT,0.87,487,1072,22.09
2015,AMAT,1.12,482,1377,16.77
2016,AMAT,1.54,436,1721,29.08
2017,AMAT,3.17,428,3434,56.43
2018,AMAT,3.23,694,3313,32.88
2019,AMAT,2.86,770,2706,54.26
2020,AMAT,3.92,796,3619,59.23
2021,AMAT,6.4,851,5888,136.65
2022,AMAT,7.44,879,6525,88.29
2023,AMAT,8.11,1022,6856,132.35
